JCR Title;Full Title;Year
ACTA CARDIOL SIN;Acta Cardiologica Sinica;2019
ACTA CHIR ORTHOP TR;Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca;2012
ACTA CHIR ORTHOP TR;Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca;2011
ACTA CHIR ORTHOP TR;Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca;2010
ACTA GEODYN GEOMATER;Acta Geodynamica et Geomaterialia;2012
ACTA GEOL SIN-ENGL;Acta Geologica Sinica-English Edition;2018
ACTA ORTOP BRAS;Acta Ortopedica Brasileira;2012
ACTA PETROL SIN;ACTA PETROLOGICA SINICA;2011
ACTA PETROL SIN;ACTA PETROLOGICA SINICA;2010
ACTA PETROL SIN;Acta Petrologica Sinica;2008
ACTA PETROL SIN;Acta Petrologica Sinica;2007
ACTA PETROL SIN ;Acta Petrologica Sinica;2009
ACTA VET-BEOGRAD;Acta Veterinaria-Beograd;2016
ACT ADAPT AGING;Activities Adaptation & Aging;2023
ADICCIONES;Adicciones;2019
ADV APPL DISCRET MAT;Advances and Applications in Discrete Mathematics;2024
AEROSOL AIR QUAL RES;Aerosol and Air Quality Research;2012
AEROSOL AIR QUAL RES;Aerosol and Air Quality Research;2019
AFR J BUS MANAGE;African Journal of Business Management;2010
AGING MALE;Aging Male;2019
AGR ECON-CZECH;Agricultural Economics-Zemedelska Ekonomika;2012
AGR ECON-CZECH;Agricultural Economics-Zemedelska Ekonomika;2011
AGR ECON-CZECH;Agricultural Economics-Zemedelska Ekonomika;2010
AM J PHARM EDUC;American Journal of Pharmaceutical Education;2012
AMFITEATRU ECON;Amfiteatru Economic;2014
ANAL QUANT CYTOL;Analytical and Quantitative Cytology and Histology;2008
ANAL QUANT CYTOL ;Analytical and Quantitative Cytology and Histology;2009
ANAT SCI EDUC;Anatomical Sciences Education;2012
ANAT SCI EDUC;Anatomical Sciences Education;2011
ANAT SCI EDUC;Anatomical Sciences Education;2013
ANAT SCI EDUC;Anatomical Sciences Education;2014
ANN AGR ENV MED;Annals of Agricultural and Environmental Medicine;2013
ANN FINANC ECON;Annals of Financial Economics;2023
ANN PHYTOMEDICINE;Annals of Phytomedicine-an International Journal;2024
APPL CLIN INFORM;Applied Clinical Informatics;2015
APPL INTELL;Applied Intelligence;2013
APPL INTELL;Applied Intelligence;2014
APPL ORGANOMET CHEM;Applied Organometallic Chemistry;2024
AQUACULT ECON MANAG;AQUACULTURE ECONOMICS & MANAGEMENT;2017
AQUACULT ECON MANAG;Aquaculture Economics & Management;2016
ARAB J SCI ENG;Arabian Journal for Science and Engineering;2014
ARAB J GEOSCI;Arabian Journal of Geosciences;2015
ARCH BUDO;Archives of Budo;2017
ARCH METALL MATER;Archives of Metallurgy and Materials;2015
ARCH MIN SCI;Archives of Mining Sciences;2014
